Cell	Drug	Drug_Name
SIDM00122	3902	Letrozole
SIDM00135	3902	Letrozole
SIDM00146	3902	Letrozole
SIDM00893	3902	Letrozole
SIDM00940	3902	Letrozole
SIDM01056	3902	Letrozole
SIDM00882	3902	Letrozole
SIDM00878	3902	Letrozole
SIDM00875	3902	Letrozole
SIDM00673	3902	Letrozole
SIDM00633	3902	Letrozole
SIDM00528	3902	Letrozole
SIDM00272	3902	Letrozole
SIDM00628	3902	Letrozole
SIDM01186	3902	Letrozole
SIDM00971	3902	Letrozole
SIDM00898	3902	Letrozole
SIDM00928	3902	Letrozole
SIDM00933	3902	Letrozole
SIDM00630	3902	Letrozole
SIDM00529	3902	Letrozole
SIDM00920	3902	Letrozole
SIDM00892	3902	Letrozole
SIDM00629	3902	Letrozole
SIDM01002	3902	Letrozole
SIDM00881	3902	Letrozole
SIDM00870	3902	Letrozole
SIDM01062	3902	Letrozole
SIDM01037	3902	Letrozole
SIDM00631	3902	Letrozole
SIDM00866	3902	Letrozole
SIDM00005	3902	Letrozole
SIDM00147	3902	Letrozole
SIDM00314	3902	Letrozole
SIDM00897	3902	Letrozole
SIDM01590	3902	Letrozole
SIDM01591	3902	Letrozole
SIDM01594	3902	Letrozole
SIDM01622	3902	Letrozole
SIDM01701	3902	Letrozole
SIDM01702	3902	Letrozole
SIDM00885	60198	Exemestane
SIDM00877	60198	Exemestane
SIDM00774	60198	Exemestane
SIDM00772	60198	Exemestane
SIDM00954	60198	Exemestane
SIDM01001	60198	Exemestane
SIDM01042	60198	Exemestane
SIDM00562	60198	Exemestane
SIDM00241	60198	Exemestane
SIDM01187	60198	Exemestane
SIDM00332	60198	Exemestane
SIDM00938	60198	Exemestane
SIDM00963	60198	Exemestane
SIDM00879	60198	Exemestane
SIDM00872	60198	Exemestane
SIDM00884	60198	Exemestane
SIDM00874	60198	Exemestane
SIDM00675	60198	Exemestane
SIDM00097	60198	Exemestane
SIDM00148	60198	Exemestane
SIDM00122	60198	Exemestane
SIDM00135	60198	Exemestane
SIDM00146	60198	Exemestane
SIDM00893	60198	Exemestane
SIDM00940	60198	Exemestane
SIDM01056	60198	Exemestane
SIDM00882	60198	Exemestane
SIDM00878	60198	Exemestane
SIDM00875	60198	Exemestane
SIDM00673	60198	Exemestane
SIDM00633	60198	Exemestane
SIDM00528	60198	Exemestane
SIDM00272	60198	Exemestane
SIDM00628	60198	Exemestane
SIDM01186	60198	Exemestane
SIDM00971	60198	Exemestane
SIDM00898	60198	Exemestane
SIDM00928	60198	Exemestane
SIDM00933	60198	Exemestane
SIDM00630	60198	Exemestane
SIDM00529	60198	Exemestane
SIDM00920	60198	Exemestane
SIDM00892	60198	Exemestane
SIDM00629	60198	Exemestane
SIDM01002	60198	Exemestane
SIDM00881	60198	Exemestane
SIDM00870	60198	Exemestane
SIDM01062	60198	Exemestane
SIDM01037	60198	Exemestane
SIDM00631	60198	Exemestane
SIDM00866	60198	Exemestane
SIDM00005	60198	Exemestane
SIDM00147	60198	Exemestane
SIDM00314	60198	Exemestane
SIDM00897	60198	Exemestane
SIDM01590	60198	Exemestane
SIDM01591	60198	Exemestane
SIDM01594	60198	Exemestane
SIDM01622	60198	Exemestane
SIDM01701	60198	Exemestane
SIDM01702	60198	Exemestane
SIDM00885	3005573	Toremifene
SIDM00877	3005573	Toremifene
SIDM00774	3005573	Toremifene
SIDM00772	3005573	Toremifene
SIDM00954	3005573	Toremifene
SIDM01001	3005573	Toremifene
SIDM01042	3005573	Toremifene
SIDM00562	3005573	Toremifene
SIDM00241	3005573	Toremifene
SIDM01187	3005573	Toremifene
SIDM00332	3005573	Toremifene
SIDM00938	3005573	Toremifene
SIDM00963	3005573	Toremifene
SIDM00879	3005573	Toremifene
SIDM00872	3005573	Toremifene
SIDM00884	3005573	Toremifene
SIDM00874	3005573	Toremifene
SIDM00675	3005573	Toremifene
SIDM00097	3005573	Toremifene
SIDM00148	3005573	Toremifene
SIDM00122	3005573	Toremifene
SIDM00135	3005573	Toremifene
SIDM00146	3005573	Toremifene
SIDM00893	3005573	Toremifene
SIDM00940	3005573	Toremifene
SIDM01056	3005573	Toremifene
SIDM00882	3005573	Toremifene
SIDM00878	3005573	Toremifene
SIDM00875	3005573	Toremifene
SIDM00673	3005573	Toremifene
SIDM00633	3005573	Toremifene
SIDM00528	3005573	Toremifene
SIDM00272	3005573	Toremifene
SIDM00628	3005573	Toremifene
SIDM01186	3005573	Toremifene
SIDM00971	3005573	Toremifene
