Cell	Drug	Drug_Name
SIDM01950	11167602	Regorafenib
SIDM01951	11167602	Regorafenib
SIDM01954	11167602	Regorafenib
SIDM01955	11167602	Regorafenib
SIDM01956	11167602	Regorafenib
SIDM01959	11167602	Regorafenib
SIDM01960	11167602	Regorafenib
SIDM01962	11167602	Regorafenib
SIDM01963	11167602	Regorafenib
SIDM01966	11167602	Regorafenib
SIDM02015	11167602	Regorafenib
SIDM02016	11167602	Regorafenib
SIDM02017	11167602	Regorafenib
SIDM02018	11167602	Regorafenib
SIDM02019	11167602	Regorafenib
SIDM02022	11167602	Regorafenib
SIDM02025	11167602	Regorafenib
SIDM02026	11167602	Regorafenib
SIDM02027	11167602	Regorafenib
SIDM02029	11167602	Regorafenib
SIDM02030	11167602	Regorafenib
SIDM02034	11167602	Regorafenib
SIDM02035	11167602	Regorafenib
SIDM02038	11167602	Regorafenib
SIDM02039	11167602	Regorafenib
SIDM02041	11167602	Regorafenib
SIDM02043	11167602	Regorafenib
SIDM02044	11167602	Regorafenib
SIDM02045	11167602	Regorafenib
SIDM02047	11167602	Regorafenib
SIDM02048	11167602	Regorafenib
SIDM02050	11167602	Regorafenib
SIDM02051	11167602	Regorafenib
SIDM02053	11167602	Regorafenib
SIDM02055	11167602	Regorafenib
SIDM02057	11167602	Regorafenib
SIDM02059	11167602	Regorafenib
SIDM02062	11167602	Regorafenib
SIDM02063	11167602	Regorafenib
SIDM02064	11167602	Regorafenib
SIDM02065	11167602	Regorafenib
SIDM02066	11167602	Regorafenib
SIDM02067	11167602	Regorafenib
SIDM02069	11167602	Regorafenib
SIDM02072	11167602	Regorafenib
SIDM02073	11167602	Regorafenib
SIDM02075	11167602	Regorafenib
SIDM02077	11167602	Regorafenib
SIDM00118	51039094	Tucatinib
SIDM00150	51039094	Tucatinib
SIDM00776	51039094	Tucatinib
SIDM00660	51039094	Tucatinib
SIDM00677	51039094	Tucatinib
SIDM00778	51039094	Tucatinib
SIDM00779	51039094	Tucatinib
SIDM01090	51039094	Tucatinib
SIDM00282	51039094	Tucatinib
SIDM00842	51039094	Tucatinib
SIDM01233	51039094	Tucatinib
SIDM01197	51039094	Tucatinib
SIDM00681	51039094	Tucatinib
SIDM00527	51039094	Tucatinib
SIDM00944	51039094	Tucatinib
SIDM00781	51039094	Tucatinib
SIDM00783	51039094	Tucatinib
SIDM00789	51039094	Tucatinib
SIDM00136	51039094	Tucatinib
SIDM00826	51039094	Tucatinib
SIDM00841	51039094	Tucatinib
SIDM00541	51039094	Tucatinib
SIDM00534	51039094	Tucatinib
SIDM00537	51039094	Tucatinib
SIDM00839	51039094	Tucatinib
SIDM00359	51039094	Tucatinib
SIDM00812	51039094	Tucatinib
SIDM00834	51039094	Tucatinib
SIDM00837	51039094	Tucatinib
SIDM01168	51039094	Tucatinib
SIDM00833	51039094	Tucatinib
SIDM00832	51039094	Tucatinib
SIDM00782	51039094	Tucatinib
SIDM00957	51039094	Tucatinib
SIDM00488	51039094	Tucatinib
SIDM00680	51039094	Tucatinib
SIDM00487	51039094	Tucatinib
SIDM00835	51039094	Tucatinib
SIDM00217	51039094	Tucatinib
SIDM00216	51039094	Tucatinib
SIDM00214	51039094	Tucatinib
SIDM00194	51039094	Tucatinib
SIDM00193	51039094	Tucatinib
SIDM00498	51039094	Tucatinib
SIDM00777	51039094	Tucatinib
SIDM01096	51039094	Tucatinib
SIDM00049	51039094	Tucatinib
SIDM00215	51039094	Tucatinib
SIDM00014	51039094	Tucatinib
SIDM00036	51039094	Tucatinib
SIDM00068	51039094	Tucatinib
SIDM00071	51039094	Tucatinib
SIDM00171	51039094	Tucatinib
SIDM00192	51039094	Tucatinib
SIDM00497	51039094	Tucatinib
SIDM00500	51039094	Tucatinib
SIDM00536	51039094	Tucatinib
SIDM00780	51039094	Tucatinib
SIDM00823	51039094	Tucatinib
SIDM00836	51039094	Tucatinib
SIDM00840	51039094	Tucatinib
SIDM00945	51039094	Tucatinib
SIDM00960	51039094	Tucatinib
SIDM01266	51039094	Tucatinib
SIDM01267	51039094	Tucatinib
SIDM01268	51039094	Tucatinib
SIDM01272	51039094	Tucatinib
SIDM01273	51039094	Tucatinib
SIDM01276	51039094	Tucatinib
SIDM01278	51039094	Tucatinib
SIDM01279	51039094	Tucatinib
SIDM01281	51039094	Tucatinib
SIDM01282	51039094	Tucatinib
SIDM01284	51039094	Tucatinib
SIDM01288	51039094	Tucatinib
SIDM01293	51039094	Tucatinib
SIDM01297	51039094	Tucatinib
SIDM01299	51039094	Tucatinib
SIDM01304	51039094	Tucatinib
SIDM01305	51039094	Tucatinib
SIDM01306	51039094	Tucatinib
SIDM01307	51039094	Tucatinib
SIDM01309	51039094	Tucatinib
SIDM01313	51039094	Tucatinib
SIDM01314	51039094	Tucatinib
SIDM01491	51039094	Tucatinib
SIDM01564	51039094	Tucatinib
SIDM01613	51039094	Tucatinib
SIDM01705	51039094	Tucatinib
SIDM01942	51039094	Tucatinib
SIDM01943	51039094	Tucatinib
SIDM01950	51039094	Tucatinib
SIDM01951	51039094	Tucatinib
