Drug_ID,Name,Synonyms,Drug_CID,Targets,Target_Pathway,Datasets,Screening_Site,Source_CID
1584,BDOCA000347a,"4-bromo-N-(6-methoxy-1,3-dimethyl-2-oxo-2,3-dihydro-1H-benzo[d]imidazol-5-yl)-2-methylbenzenesulfonamide",35397514,"BRPF1, BRPF2, BRPF3",Chromatin histone acetylation,GDSC2,SANGER,PubChem [ID Exchange]
1866,BDP-00009066,NA,132275018,MRCKB_HUMAN,Cytoskeleton,GDSC2,SANGER,Manual Search
1847,BEN,NA,2332,NA,Unclassified,GDSC2,SANGER,PubChem [ID Exchange]
60,BI-2536,NA,11364421,"PLK1, PLK2, PLK3",Cell cycle,GDSC1,MGH,GDSC
1086,BI-2536,NA,11364421,"PLK1, PLK2, PLK3",Cell cycle,GDSC2,SANGER,GDSC
380,BIBF-1120,NA,135423438,"VEGFR, PDGFR, FGFR",RTK signaling,GDSC1,MGH,PubChem [ID Exchange]
2043,BIBR-1532,NA,9927531,TERT,Genome integrity,GDSC2,SANGER,GDSC
279,BIX02189,BIX 02189,135659062,"MEK5, ERK5",ERK MAPK signaling,GDSC1,MGH,GDSC [Legacy CID 46931012]
203,BMS-345541,"BMS345541, IKK Inhibitor 3",9813758,"IKK1, IKK2","Other, kinases",GDSC1,MGH,GDSC
1249,BMS-345541,NA,9813758,"IKK-1, IKK-2",Other,GDSC2,SANGER,GDSC
63,BMS-509744,"KIN001-127, ITK inhibitor",20635522,ITK,"Other, kinases",GDSC1,MGH,GDSC
62,BMS-536924,BMS 536924,135440466,"IGF1R, IR",IGF1R signaling,GDSC1,MGH,GDSC [Legacy CID 10390396]
1091,BMS-536924,BMS 536924,135440466,"IGF1R, IR",IGF1R signaling,GDSC1,SANGER,GDSC [Legacy CID 10390396]
1091,BMS-536924,BMS 536924,135440466,"IGF1R, IR",IGF1R signaling,GDSC2,SANGER,GDSC [Legacy CID 10390396]
184,BMS-754807,"BMS754807, BMS 754807",24785538,"IGF1R, IR",RTK signaling,GDSC1,MGH,GDSC
2171,BMS-754807,BMS-754807,24785538,"IGF1R, IR",IGF1R signaling,GDSC2,SANGER,PubChem [ID Exchange]
1998,BPD-00008900,NA,NA,NA,Other,GDSC2,SANGER,NA
1425,BPTES,SN1041594574,3372016,GLS,Other,GDSC1,SANGER,PubChem [ID Exchange]
222,BX-912,NA,11754511,PDK1 (PDPK1),Metabolism,GDSC1,MGH,GDSC
1037,BX795,BX-795,10077147,"TBK1, PDK1 (PDPK1), IKK, AURKB, AURKC","Other, kinases",GDSC1,SANGER,GDSC
1037,BX795,BX-795,10077147,"TBK1, PDK1 (PDPK1), IKK, AURKB, AURKC","Other, kinases",GDSC2,SANGER,GDSC
274,Belinostat,"PXD101, PXD-101",6918638,HDAC1,Chromatin histone acetylation,GDSC1,MGH,GDSC
186,Bexarotene,"LG-100069, Targretin, Targret, Targrexin, Targretyn, Bexarotenum",82146,Retinioic X receptor (RXR) agonist,Other,GDSC1,MGH,GDSC
150,Bicalutamide,"ICI-176334, Casodex, Cosudex, ICI 176334",2375,AR,Hormone-related,GDSC1,MGH,GDSC
1502,Bicalutamide,"ICI-176334, Casodex, Cosudex, ICI 176334",2375,AR,Hormone-related,GDSC1,SANGER,GDSC
1502,Bicalutamide,"ICI-176334, Casodex, Cosudex, ICI 176334",2375,AR,Hormone-related,GDSC2,SANGER,GDSC
190,Bleomycin,NA,5460769,dsDNA break induction,DNA replication,GDSC1,MGH,Manual Search
1812,Bleomycin,NA,5460769,dsDNA break induction,DNA replication,GDSC2,SANGER,Manual Search
1392,Bleomycin (10 uM),NA,5460769,dsDNA break induction,DNA replication,GDSC1,SANGER,Manual Search
1378,Bleomycin (50 uM),NA,5460769,dsDNA break induction,DNA replication,GDSC1,SANGER,GDSC
1378,Bleomycin (50 uM),NA,5460769,dsDNA break induction,DNA replication,GDSC2,SANGER,GDSC
104,Bortezomib,"PS-341, LDP-341, Velcade",387447,Proteasome,Protein stability and degradation,GDSC1,MGH,GDSC
1191,Bortezomib,"PS-341, LDP-341, Velcade",387447,Proteasome,Protein stability and degradation,GDSC2,SANGER,GDSC
1019,Bosutinib,"SKI-606, Bosulif",5328940,"SRC, ABL, TEC","Other, kinases",GDSC1,SANGER,GDSC
1019,Bosutinib,"SKI-606, Bosulif",5328940,"SRC, ABL, TEC","Other, kinases",GDSC2,SANGER,GDSC
376,"Brivanib, BMS-540215",NA,11234052,"VEGFR, PDGFR",RTK signaling,GDSC1,MGH,PubChem [ID Exchange]
1581,Bromosporine,"ethyl N-[6-(3-methanesulfonamido-4-methylphenyl)-3-methyl-[1,2,4]triazolo[4,3-b]pyridazin-8-yl]carbamate",72943187,"CECR2, BRD2, BRD4, BRD9",Chromatin other,GDSC2,SANGER,PubChem [ID Exchange]
197,Bryostatin 1,Bryostatin,5280757,PKC,Other,GDSC1,MGH,GDSC
1873,Buparlisib,"BKM120, NVP-BKM120",66577015,"PI3Kalpha, PI3Kdelta, PI3Kbeta, PI3Kgamma",PI3K/MTOR signaling,GDSC2,SANGER,GDSC
435,C-75,NA,4248455,FAS,Apoptosis regulation,GDSC1,MGH,PubChem [ID Exchange]
436,"CAP-232, TT-232, TLN-232",NA,6918265,Glycolysis,Metabolism,GDSC1,MGH,"WebChem [PubChem, ChemSpider]"
416,CAY10566,NA,16732433,Stearoyl-CoA desaturase,Other,GDSC1,MGH,PubChem [ID Exchange]
276,CAY10603,NA,24951314,"HDAC1, HDAC6",Chromatin histone acetylation,GDSC1,MGH,GDSC
1170,CCT-018159,"CCT018159, CCT 018159",984170,HSP90,Protein stability and degradation,GDSC1,SANGER,GDSC [Legacy CID 5327091]
1170,CCT-018159,"CCT018159, CCT 018159",984170,HSP90,Protein stability and degradation,GDSC2,SANGER,GDSC [Legacy CID 5327091]
1067,CCT007093,NA,2314623,PPM1D,Cell cycle,GDSC1,SANGER,GDSC
1067,CCT007093,NA,2314623,PPM1D,Cell cycle,GDSC2,SANGER,GDSC
1187,CCT245232,NA,117996541,HSF1,Unclassified,GDSC1,SANGER,PubChem [ID Exchange]
1188,CCT245467,NA,NA,HSF1,Unclassified,GDSC1,SANGER,NA
449,CD532,NA,77232197,AURKA,Mitosis,GDSC1,MGH,PubChem [ID Exchange]
1709,CDK9_5038,"SN1047483750, CDK9_5038",NA,CDK9,Cell cycle,GDSC2,SANGER,NA
1708,CDK9_5576,"SN1047226266, CDK9_5576",NA,CDK9,Cell cycle,GDSC2,SANGER,NA
54,CGP-082996,"CINK4, KIN001-021",24825971,CDK4,Cell cycle,GDSC1,MGH,GDSC
