Drug_ID,Name,Synonyms,Drug_CID,Targets,Target_Pathway,Datasets,Screening_Site,Source_CID
1164,XMD8-92,XMD 8-92,46843772,ERK5,ERK MAPK signaling,GDSC1,SANGER,GDSC
309,Y-39983,NA,9810884,ROCK,Cytoskeleton,GDSC1,MGH,GDSC
1239,YK-4-279,YK 4-279,44632017,RNA helicase A,Other,GDSC1,SANGER,GDSC
1239,YK-4-279,YK 4-279,44632017,RNA helicase A,Other,GDSC2,SANGER,GDSC
310,YM201636,"YM-201636, YM 201636",9956222,PIKFYVE,PI3K/MTOR signaling,GDSC1,MGH,GDSC
45,Z-LLNle-CHO,"Z-L-Norleucine-CHO, Gamma-Secretase Inhibitor 1",16760646,gamma-secretase,Other,GDSC1,MGH,GDSC
1161,ZG-10,NA,57340680,JNK1,JNK and p38 signaling,GDSC1,SANGER,PubChem [ID Exchange]
1197,ZL049,[(diphenyltetramethylcyclopentadienyl)iridium(III)(2-phenylpyridine)(chloride)],NA,NA,Unclassified,GDSC1,SANGER,NA
1379,ZL109,NA,NA,DNA damage,Unclassified,GDSC1,SANGER,NA
1050,ZM447439,"ZM-447439, ZM 447439",9914412,"AURKA, AURKB",Mitosis,GDSC1,SANGER,GDSC
1050,ZM447439,"ZM-447439, ZM 447439",9914412,"AURKA, AURKB",Mitosis,GDSC2,SANGER,GDSC
223,ZSTK474,"KIN001-167, ZSTK-474, ZSTK 474",11647372,PI3K (class 1),PI3K/MTOR signaling,GDSC1,MGH,GDSC
266,Zibotentan,"ZD4054, ZD-4054",9910224,Endothelin-1 receptor (EDNRA),Other,GDSC1,MGH,GDSC
1802,Zoledronate,"Zoledronic acid, Zometa, Reclast",68740, ,Other,GDSC2,SANGER,PubChem [ID Exchange]
2498,alpha-lipoic acid,aLA,864,Metabolism,Metabolism,GDSC2,SANGER,PubChem [ID Exchange]
2438,ascorbate (vitamin C),back-up solution from YWKim,54670067,anti-oxidant proteins,Other,GDSC2,SANGER,Manual Search
409,"eEF2K Inhibitor, A-484954",NA,14998470,eEF2K,"Other, kinases",GDSC1,MGH,PubChem [ID Exchange]
2439,glutathione,"G6013, sigma",124886,anti-oxidant proteins,Other,GDSC2,SANGER,PubChem [ID Exchange]
407,kb NB 142-70,NA,45258277,PKD,"Other, kinases",GDSC1,MGH,PubChem [ID Exchange]
1261,rTRAIL,NA,NA,TRAIL receptor agonist,Apoptosis regulation,GDSC1,SANGER,NA
1202,torin2,NA,51358113,"MTOR, ATM, ATR, DNAPK",PI3K/MTOR signaling,GDSC1,SANGER,PubChem [ID Exchange]
