"SANGER_MODEL_ID","BROAD_ID","COSMIC_ID","CCLE_ID","RRID","MODEL_NAME","SYNONYMS","TCGA_CODE","TISSUE","CANCER_TYPE","CANCER_TYPE_DETAIL"
"SIDM01741","ACH-000194",NA,"HS934T_FIBROBLAST",NA,"Hs-934-T",NA,NA,"Skin","Melanoma","Melanoma"
"SIDM01745",NA,NA,NA,NA,"Hs-888-Lu",NA,NA,"Lung","Non-Cancerous",NA
"SIDM01747",NA,NA,NA,NA,"Hs-791-T",NA,NA,"Bone","Osteosarcoma","Osteosarcoma"
"SIDM01730","ACH-000333",NA,"JHOM2B_OVARY",NA,"JHOM-2B",NA,"MOV","Ovary","Ovarian Carcinoma","Ovarian Mucinous Adenocarcinoma"
"SIDM01734","ACH-000612",NA,"HUT102_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"HuT-102",NA,"MYCF","Haematopoietic and Lymphoid","T-Cell Non-Hodgkin's Lymphoma","Cutaneous T-Cell Lymphoma"
"SIDM01736",NA,NA,NA,NA,"HuG1",NA,NA,"Stomach","Gastric Carcinoma","Gastric Tubular Adenocarcinoma"
"SIDM01738","ACH-001524",NA,"HSC5_SKIN",NA,"HSC-5",NA,"CSCC","Skin","Other Solid Cancers","Skin Squamous Cell Carcinoma"
"SIDM01740",NA,NA,NA,NA,"Hs-935-T",NA,NA,"Skin","Melanoma","Melanoma"
"SIDM01742",NA,NA,NA,NA,"Hs-895-Sk",NA,NA,"Skin","Non-Cancerous","Non-Cancerous"
"SIDM01744",NA,NA,NA,NA,"Hs-888-Sk",NA,NA,"Skin","Non-Cancerous","Non-Cancerous"
"SIDM01748",NA,NA,NA,NA,"Hs-860-T",NA,NA,"Bone","Osteosarcoma","Osteosarcoma"
"SIDM01754",NA,NA,NA,NA,"LB373-MEL",NA,NA,"Skin","Melanoma","Melanoma"
"SIDM01751",NA,NA,NA,NA,"HuG1-PI",NA,NA,"Stomach","Gastric Carcinoma","Gastric Tubular Adenocarcinoma"
"SIDM01755","ACH-001108",NA,"KP1NL_PANCREAS",NA,"KP-1NL",NA,NA,"Pancreas","Pancreatic Carcinoma","Pancreatic Ductal Adenocarcinoma"
"SIDM01783","ACH-001555",NA,"MERO14_PLEURA",NA,"Mero-14",NA,"PLEMESO","Lung","Mesothelioma","Pleural Epithelioid Mesothelioma"
"SIDM01760","ACH-000051",NA,"TE617T_SOFT_TISSUE",NA,"TE-617-T",NA,"RMS","Soft Tissue","Rhabdomyosarcoma","Rhabdomyosarcoma"
