"SANGER_MODEL_ID","BROAD_ID","COSMIC_ID","CCLE_ID","RRID","MODEL_NAME","SYNONYMS","TCGA_CODE","TISSUE","CANCER_TYPE","CANCER_TYPE_DETAIL"
"SIDM01645","ACH-002359",NA,"LB996EBV_MATCHED_NORMAL_TISSUE",NA,"LB996-EBV",NA,NA,"Haematopoietic and Lymphoid","Non-Cancerous","Non-Cancerous"
"SIDM01219","ACH-002158","907796",NA,"CVCL_1393","LU-99A",NA,"UNCLASSIFIED","Lung","Non-Small Cell Lung Carcinoma","Giant Cell Lung Carcinoma"
"SIDM00636","ACH-002270","683665","MCCAR_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","CVCL_1397","MC-CAR",NA,NA,"Haematopoietic and Lymphoid","Non-Cancerous","Non-Cancerous"
"SIDM01246","ACH-002160","908118","MCIXC_BONE","CVCL_1398","MC-IXC","SK-N-MC-IXC","NB","Bone","Ewing's Sarcoma","Askin's Tumor"
"SIDM01242","ACH-002162","925339","MMACSF_SKIN","CVCL_1420","MMAc-SF","MMAc-Serum Free","SKCM","Skin","Melanoma","Melanoma"
"SIDM01681","ACH-002362",NA,"NCIBL128_MATCHED_NORMAL_TISSUE",NA,"NCI-BL128",NA,NA,"Haematopoietic and Lymphoid","Non-Cancerous","Non-Cancerous"
"SIDM01680","ACH-002364",NA,"NCIBL1437_MATCHED_NORMAL_TISSUE",NA,"NCI-BL1437",NA,NA,"Haematopoietic and Lymphoid","Non-Cancerous","Non-Cancerous"
"SIDM00736","ACH-002366",NA,"NCIBL2009_MATCHED_NORMAL_TISSUE","CVCL_2645","NCI-BL2009",NA,NA,"Haematopoietic and Lymphoid","Non-Cancerous","Non-Cancerous"
"SIDM00712","ACH-002367",NA,"NCIBL2052_MATCHED_NORMAL_TISSUE","CVCL_2647","NCI-BL2052",NA,NA,"Haematopoietic and Lymphoid","Non-Cancerous","Non-Cancerous"
"SIDM00707","ACH-002368",NA,"NCIBL2087_MATCHED_NORMAL_TISSUE","CVCL_2648","NCI-BL2087",NA,NA,"Haematopoietic and Lymphoid","Non-Cancerous","Non-Cancerous"
"SIDM00790","ACH-002371",NA,"NCIBL2126_MATCHED_NORMAL_TISSUE","CVCL_2652","NCI-BL2126",NA,NA,"Haematopoietic and Lymphoid","Non-Cancerous","Non-Cancerous"
"SIDM01164","ACH-000883","909750","SW1783_CENTRAL_NERVOUS_SYSTEM","CVCL_1722","SW1783",NA,"LGG","Central Nervous System","Glioma","Anaplastic Astrocytoma"
"SIDM01947",NA,NA,NA,NA,"HCM-SANG-0547-C25","WTSI-PANC_050",NA,"Pancreas","Pancreatic Carcinoma","Pancreatic Ductal Adenocarcinoma"
"SIDM00634","ACH-000039","753613","SKNMC_BONE","CVCL_0530","SK-N-MC",NA,"ES","Bone","Ewing's Sarcoma","Askin's Tumor"
"SIDM00613","ACH-000231","907271","KALS1_CENTRAL_NERVOUS_SYSTEM","CVCL_1323","KALS-1",NA,"LGG","Central Nervous System","Glioblastoma","Glioblastoma"
"SIDM01469","ACH-000085",NA,"T3M4_PANCREAS","CVCL_4056","T3M-4",NA,"PAAD","Pancreas","Pancreatic Carcinoma","Pancreatic Adenocarcinoma"
"SIDM00161","ACH-000141",NA,"SNU308_BILIARY_TRACT","CVCL_5048","SNU-308","NCI-SNU-308","GBAD","Biliary Tract","Biliary Tract Carcinoma","Gallbladder Carcinoma"
"SIDM00344","ACH-000596","946361","LCLC97TM1_LUNG","CVCL_1376","LCLC-97TM1",NA,"UNCLASSIFIED","Lung","Non-Small Cell Lung Carcinoma","Large Cell Lung Carcinoma"
"SIDM01564","ACH-000214",NA,"HS675T_FIBROBLAST","CVCL_0836","Hs-675-T",NA,NA,"Large Intestine","Colorectal Carcinoma","Colorectal Carcinoma"
"SIDM01135","ACH-000060","925348","PANC1005_PANCREAS","CVCL_1639","PANC-10-05","Pa16C;PL12","PAAD","Pancreas","Pancreatic Carcinoma","Pancreatic Ductal Adenocarcinoma"
"SIDM01753","ACH-000239",NA,"HUG1N_STOMACH",NA,"HuG1-N",NA,"TSTAD","Stomach","Gastric Carcinoma","Gastric Tubular Adenocarcinoma"
"SIDM00166","ACH-000302",NA,"SNU1077_ENDOMETRIUM","CVCL_5007","SNU-1077",NA,"UCS","Uterus","Other Solid Cancers","Uterine Corpus Carcinosarcoma"
"SIDM01444","ACH-000370",NA,"SNU626_CENTRAL_NERVOUS_SYSTEM","CVCL_5080","SNU-626",NA,"GB","Central Nervous System","Glioblastoma","Glioblastoma"
"SIDM01470","ACH-000387",NA,"TF1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","CVCL_0559","TF-1",NA,"AML","Haematopoietic and Lymphoid","Acute Myeloid Leukemia","Erythroleukemia"
"SIDM00921","ACH-000264","724859","CALU6_LUNG","CVCL_0236","Calu-6",NA,"LUAD","Lung","Non-Small Cell Lung Carcinoma","Lung Adenocarcinoma"
"SIDM01575","ACH-000426",NA,"KMS20_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","CVCL_2990","KMS-20",NA,"PCM","Haematopoietic and Lymphoid","Plasma Cell Myeloma","Plasma Cell Myeloma"
"SIDM01679","ACH-000523",NA,"NCIH1184_LUNG",NA,"NCI-H1184",NA,"SCLC","Lung","Small Cell Lung Carcinoma","Small Cell Lung Carcinoma"
"SIDM00541","ACH-000926","907287","HT55_LARGE_INTESTINE","CVCL_1294","HT55",NA,"COREAD","Large Intestine","Colorectal Carcinoma","Colon Carcinoma"
"SIDM01159","ACH-002310","909756","SW872_SOFT_TISSUE","CVCL_1730","SW872",NA,"UNCLASSIFIED","Soft Tissue","Other Sarcomas","Liposarcoma"
"SIDM00406","ACH-000660","1331036","SUDHL5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","CVCL_1735","SU-DHL-5",NA,"DLBC","Haematopoietic and Lymphoid","B-Cell Non-Hodgkin's Lymphoma","Diffuse Large B-Cell Lymphoma"
"SIDM00167","ACH-000715",NA,"SNU1214_UPPER_AERODIGESTIVE_TRACT","CVCL_5017","SNU-1214","NCI-SNU-1214","LXSC","Head and Neck","Head and Neck Carcinoma","Laryngeal Squamous Cell Carcinoma"
"SIDM01757","ACH-000741",NA,"UBLC1_URINARY_TRACT",NA,"U-BLC1",NA,"BLCA","Bladder","Bladder Carcinoma","Bladder Carcinoma"
"SIDM00256","ACH-002281","949178","NB14_AUTONOMIC_GANGLIA","CVCL_1444","NB14","SJNB-14;NB14-DH;NCC","NB","Peripheral Nervous System","Neuroblastoma","Neuroblastoma"
"SIDM00015","ACH-000777","1298221","KYSE30_OESOPHAGUS","CVCL_1351","KYSE-30",NA,"ESCC","Esophagus","Esophageal Squamous Cell Carcinoma","Esophageal Squamous Cell Carcinoma"
"SIDM00008","ACH-000796","1240171","MCAS_OVARY","CVCL_3020","MCAS",NA,"MOV","Ovary","Ovarian Carcinoma","Ovarian Cystadenocarcinoma"
"SIDM00511","ACH-000257","910937","CORL279_LUNG","CVCL_1140","COR-L279",NA,"SCLC","Lung","Small Cell Lung Carcinoma","Small Cell Lung Carcinoma"
"SIDM01677","ACH-000845",NA,"NCIH1373_LUNG",NA,"NCI-H1373",NA,"LUAD","Lung","Non-Small Cell Lung Carcinoma","Lung Adenocarcinoma"
"SIDM01394","ACH-000907",NA,"SNU349_KIDNEY","CVCL_5054","SNU-349",NA,"CCRCC","Kidney","Kidney Carcinoma","Clear Cell Renal Cell Carcinoma"
"SIDM00664","ACH-000178","1298141","HS766T_PANCREAS","CVCL_0334","Hs-766T","H766T","PAAD","Pancreas","Pancreatic Carcinoma","Pancreatic Adenocarcinoma"
"SIDM01618","ACH-000942",NA,"HPBALL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","CVCL_1820","HPB-ALL",NA,"TLL","Haematopoietic and Lymphoid","B-Lymphoblastic Leukemia","Childhood T Acute Lymphoblastic Leukemia"
"SIDM00215","ACH-000708","1659929","SNU283_LARGE_INTESTINE","CVCL_5044","SNU-283","NCI-SNU-283","READ","Large Intestine","Colorectal Carcinoma","Rectal Adenocarcinoma"
"SIDM01700","ACH-000165",NA,"HS751T_FIBROBLAST",NA,"Hs-751-T",NA,NA,"Haematopoietic and Lymphoid","Hodgkin's Lymphoma","Hodgkin's Lymphoma"
"SIDM01942",NA,NA,NA,NA,"HCM-SANG-0522-C18","WTSI-COLO_093",NA,"Large Intestine","Colorectal Carcinoma","Colon Adenocarcinoma"
"SIDM00955","ACH-000812","1240125","COLO783_SKIN","CVCL_1997","COLO-783",NA,"SKCM","Skin","Melanoma","Melanoma"
"SIDM00922","ACH-000392","687777","CALU3_LUNG","CVCL_0609","Calu-3",NA,"LUAD","Lung","Non-Small Cell Lung Carcinoma","Lung Adenocarcinoma"
"SIDM01068","ACH-000562","1290908","HCC78_LUNG","CVCL_2061","HCC-78","HCC0078","LUAD","Lung","Non-Small Cell Lung Carcinoma","Lung Adenocarcinoma"
"SIDM01732","ACH-002379",NA,"J82_MATCHED_NORMAL_TISSUE",NA,"J82-EBV",NA,NA,"Haematopoietic and Lymphoid","Non-Cancerous","Non-Cancerous"
"SIDM01039","ACH-001529","907175","JAR_PLACENTA","CVCL_0360","JAR",NA,"UNCLASSIFIED","Placenta","Other Solid Cancers","Gestational Choriocarcinoma"
"SIDM00148","ACH-000019","905946","MCF7_BREAST","CVCL_0031","MCF7","ssMCF-7;MCF7/WT;IBMF-7;MCF7-CTRL","BRCA","Breast","Breast Carcinoma","Invasive Ductal Carcinoma Not Otherwise Specified"
"SIDM01265","ACH-000763","1659818","MM1S_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","CVCL_8792","MM1S",NA,"MM","Haematopoietic and Lymphoid","Plasma Cell Myeloma","Plasma Cell Myeloma"
"SIDM00091","ACH-001151","905969","OVCAR5_OVARY","CVCL_1628","OVCAR-5","NIH:OVCAR-5;OVCA5","OV","Ovary","Ovarian Carcinoma","High Grade Ovarian Serous Adenocarcinoma"
"SIDM01137","ACH-000235","1298476","PANC0403_PANCREAS","CVCL_1636","PANC-04-03","Panc 4.03;Pa17C;Pa017C;PL5","PAAD","Pancreas","Pancreatic Carcinoma","Pancreatic Ductal Adenocarcinoma"
"SIDM00321","ACH-000430","909774","TYKNU_OVARY","CVCL_1776","TYK-nu",NA,"UNCLASSIFIED","Ovary","Ovarian Carcinoma","High Grade Ovarian Serous Adenocarcinoma"
"SIDM01372","ACH-000266",NA,"SNU213_PANCREAS","CVCL_5034","SNU-213",NA,"PAAD","Pancreas","Pancreatic Carcinoma","Pancreatic Ductal Adenocarcinoma"
"SIDM00162","ACH-000268",NA,"SNU245_BILIARY_TRACT","CVCL_5038","SNU-245","NCI-SNU-245","EHCH","Biliary Tract","Biliary Tract Carcinoma","Cholangiocarcinoma"
"SIDM00633","ACH-000759","908120","MDAMB175VII_BREAST","CVCL_1400","MDA-MB-175-VII","MDA-175","BRCA","Breast","Breast Carcinoma","Invasive Ductal Carcinoma Not Otherwise Specified"
"SIDM00434","ACH-000745","1330950","MOLP8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","CVCL_2124","MOLP-8",NA,"MM","Haematopoietic and Lymphoid","Plasma Cell Myeloma","Plasma Cell Myeloma"
"SIDM01336","ACH-000368",NA,"SNU1105_CENTRAL_NERVOUS_SYSTEM","CVCL_5010","SNU-1105",NA,"GB","Central Nervous System","Glioblastoma","Glioblastoma"
"SIDM00958","ACH-000920","910951","CMLT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","CVCL_1126","CML-T1",NA,"LCML","Haematopoietic and Lymphoid","Chronic Myelogenous Leukemia","Chronic Myelogenous Leukemia"
"SIDM00859","ACH-001498","1297449","FARAGE_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","CVCL_3302","Farage","Farage OL;Farage Original Line","DLBC","Haematopoietic and Lymphoid","B-Cell Non-Hodgkin's Lymphoma","Diffuse Large B-Cell Lymphoma"
"SIDM00783","ACH-000971","905936","HCT116_LARGE_INTESTINE","CVCL_0291","HCT-116",NA,"COREAD","Large Intestine","Colorectal Carcinoma","Colon Carcinoma"
"SIDM00588","ACH-000546","907062","HSC4_UPPER_AERODIGESTIVE_TRACT","CVCL_1289","HSC-4",NA,"HNSC","Head and Neck","Oral Cavity Carcinoma","Tongue Squamous Cell Carcinoma"
"SIDM00663","ACH-000814","1298144","HS939T_SKIN","CVCL_1036","Hs-939-T",NA,"SKCM","Skin","Melanoma","Melanoma"
"SIDM00066",NA,NA,NA,"CVCL_9972","TE-7",NA,NA,"Esophagus","Esophageal Squamous Cell Carcinoma","Esophageal Squamous Cell Carcinoma"
"SIDM00076",NA,NA,NA,"CVCL_4463","TE-13",NA,NA,"Esophagus","Esophageal Squamous Cell Carcinoma","Esophageal Squamous Cell Carcinoma"
"SIDM00089",NA,NA,NA,"CVCL_1452","NCI-ADR-RES",NA,NA,"Ovary","Ovarian Carcinoma","High Grade Ovarian Serous Adenocarcinoma"
"SIDM00106",NA,NA,NA,"CVCL_3968","NCI-H125",NA,NA,"Lung","Other Solid Cancers","Adenosquamous Lung Carcinoma"
"SIDM00109","ACH-001198",NA,"SNB19_CENTRAL_NERVOUS_SYSTEM","CVCL_0535","SNB19",NA,"ASTR","Central Nervous System","Glioma","Astrocytoma"
"SIDM00110",NA,NA,NA,"CVCL_2864","B2-17",NA,NA,"Central Nervous System","Glioma","Astrocytoma"
"SIDM00071","ACH-000202","1290773","COLO320_LARGE_INTESTINE","CVCL_1989","COLO-320","Co320;COLO 320F","COAD","Large Intestine","Colorectal Carcinoma","Colon Adenocarcinoma"
"SIDM00010",NA,NA,NA,"CVCL_1437","Malme-3",NA,NA,"Skin","Non-Cancerous","Non-Cancerous"
"SIDM00713","ACH-000153","688058","NCIH2052_PLEURA","CVCL_1518","NCI-H2052","H2052_MM","MESO","Lung","Mesothelioma","Pleural Sarcomatoid Mesothelioma"
"SIDM00557","ACH-000345","924189","KPNRTBM1_AUTONOMIC_GANGLIA","CVCL_1339","KP-N-RT-BM-1",NA,"NB","Peripheral Nervous System","Neuroblastoma","Neuroblastoma"
"SIDM00355","ACH-000062","910931","RERFLCMS_LUNG","CVCL_1655","RERF-LC-MS",NA,"LUAD","Lung","Non-Small Cell Lung Carcinoma","Lung Adenocarcinoma"
"SIDM00960","ACH-000798","1240124","CL40_LARGE_INTESTINE","CVCL_1982","CL-40",NA,"COAD","Large Intestine","Colorectal Carcinoma","Colon Adenocarcinoma"
"SIDM01694","ACH-000728",NA,"KASUMI2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"KASUMI-2",NA,"BLL","Haematopoietic and Lymphoid","B-Lymphoblastic Leukemia","B Acute Lymphoblastic Leukemia"
"SIDM01445","ACH-000736",NA,"SNU601_STOMACH","CVCL_0101","SNU-601",NA,"SSRCC","Stomach","Gastric Carcinoma","Signet Ring Cell Gastric Adenocarcinoma"
"SIDM00697","ACH-000830","908469","NCIH1436_LUNG","CVCL_1471","NCI-H1436",NA,"SCLC","Lung","Small Cell Lung Carcinoma","Small Cell Lung Carcinoma"
"SIDM00618","ACH-000620","1298151","JHH1_LIVER","CVCL_2785","JHH-1",NA,"LIHC","Liver","Hepatocellular Carcinoma","Hepatocellular Carcinoma"
"SIDM00550","ACH-002264","1298222","KYSE50_OESOPHAGUS","CVCL_1360","KYSE-50","KY-50","ESCA","Esophagus","Esophageal Squamous Cell Carcinoma","Esophageal Squamous Cell Carcinoma"
"SIDM00762","ACH-000414","1240185","NCIH1944_LUNG","CVCL_1508","NCI-H1944",NA,"LUAD","Lung","Non-Small Cell Lung Carcinoma","Lung Adenocarcinoma"
"SIDM01169","ACH-000885","1240222","TOV21G_OVARY","CVCL_3613","TOV-21G",NA,"OV","Ovary","Ovarian Carcinoma","Ovarian Clear Cell Adenocarcinoma"
"SIDM00343","ACH-002268","910694","LN405_CENTRAL_NERVOUS_SYSTEM","CVCL_1378","LN-405",NA,"GBM","Central Nervous System","Glioblastoma","Glioblastoma"
"SIDM00614","ACH-000848","1240160","JHH7_LIVER","CVCL_2805","JHH-7","FLC-7;Functional Liver Cell-7","LIHC","Liver","Hepatocellular Carcinoma","Hepatocellular Carcinoma"
"SIDM01254","ACH-000707","1330988","P3HR1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","CVCL_2676","P3HR-1","P3HRI;P3HR1-BL;P3J HR-1;P3J HR1-K","BL","Haematopoietic and Lymphoid","Burkitt's Lymphoma","Epstein-Barr Virus-Related Burkitt s Lymphoma"
"SIDM01276",NA,NA,NA,NA,"HCM-SANG-0272-C20","WTSI-COLO_025",NA,"Large Intestine","Colorectal Carcinoma","Rectal Adenocarcinoma"
"SIDM00499","ACH-000956","924100","22RV1_PROSTATE","CVCL_1045","22RV1","CWR22-Rv1;CWR22-R1","PRAD","Prostate","Prostate Carcinoma","Prostate Carcinoma"
"SIDM01016","ACH-000995","998184","JURKAT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","CVCL_0065","Jurkat","JM;JM-Jurkat;Jurkat-FHCRC;FHCRC-11;FHCRC subclone 11;FCCH1024","ALL","Haematopoietic and Lymphoid","T-Lymphoblastic Leukemia","Childhood T Acute Lymphoblastic Leukemia"
"SIDM01010","ACH-000053","907273","KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","CVCL_1324","KARPAS-299","K299","UNCLASSIFIED","Haematopoietic and Lymphoid","T-Cell Non-Hodgkin's Lymphoma","Anaplastic Large Cell Lymphoma"
"SIDM00687","ACH-000793","907276","KATOIII_STOMACH","CVCL_0371","KATOIII","KATO 3;JTC-28","STAD","Stomach","Gastric Carcinoma","Signet Ring Cell Gastric Adenocarcinoma"
"SIDM00603","ACH-002260","753570","KOSC2_UPPER_AERODIGESTIVE_TRACT","CVCL_1337","KOSC-2","KOSC-2 cl3-43","HNSC","Head and Neck","Head and Neck Carcinoma","Head and Neck Squamous Cell Carcinoma"
"SIDM00683","ACH-000977","907788","LNCAPCLONEFGC_PROSTATE","CVCL_1379","LNCaP-Clone-FGC","LNCaP.FGC;LNCaP-ATCC","PRAD","Prostate","Prostate Carcinoma","Prostate Carcinoma"
"SIDM00293","ACH-002052","713878","LU139_LUNG","CVCL_1390","LU-139","NCC-c-Lu-139","SCLC","Lung","Small Cell Lung Carcinoma","Small Cell Lung Carcinoma"
"SIDM00003","ACH-002159","905975","M14_SKIN","CVCL_1395","M14","M14-MEL;UCLA-SO-M14;UCLA-SO-14;Melanoma 14","SKCM","Skin","Melanoma","Amelanotic Melanoma"
"SIDM00437","ACH-000362","1330947","MOLM13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","CVCL_2119","MOLM-13",NA,"LAML","Haematopoietic and Lymphoid","Acute Myeloid Leukemia","Adult Acute Myeloid Leukemia"
"SIDM00425","ACH-000663","1298365","OVTOKO_OVARY","CVCL_3117","OVTOKO",NA,"OV","Ovary","Ovarian Carcinoma","Ovarian Clear Cell Adenocarcinoma"
"SIDM01156","ACH-000890","1299062","SW1271_LUNG","CVCL_1716","SW1271",NA,"SCLC","Lung","Small Cell Lung Carcinoma","Small Cell Lung Carcinoma"
"SIDM01278",NA,NA,NA,NA,"HCM-SANG-0276-C18","WTSI-COLO_039",NA,"Large Intestine","Colorectal Carcinoma","Cecum Adenocarcinoma"
"SIDM00435","ACH-000369","1330948","MOLM16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","CVCL_2120","MOLM-16",NA,"LAML","Haematopoietic and Lymphoid","Acute Myeloid Leukemia","Adult Acute Myeloid Leukemia"
"SIDM01023","ACH-000006","908148","MONOMAC6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","CVCL_1426","MONO-MAC-6","MM6","LAML","Haematopoietic and Lymphoid","Acute Myeloid Leukemia","Adult Acute Monocytic Leukemia"
"SIDM00253","ACH-002284","949173","NB6_AUTONOMIC_GANGLIA","CVCL_8823","NB6","SJNB-6;NB6-DH;N2307L","NB","Peripheral Nervous System","Neuroblastoma","Neuroblastoma"
"SIDM00758","ACH-001137","908476","NCIH1993_LUNG","CVCL_1512","NCI-H1993",NA,"LUAD","Lung","Non-Small Cell Lung Carcinoma","Lung Adenocarcinoma"
"SIDM00702","ACH-000311","722046","NCIH2122_LUNG","CVCL_1531","NCI-H2122",NA,"LUAD","Lung","Non-Small Cell Lung Carcinoma","Lung Adenocarcinoma"
"SIDM00700","ACH-001363","1298352","NCIH2135_LUNG","CVCL_1533","NCI-H2135",NA,"UNCLASSIFIED","Lung","Non-Small Cell Lung Carcinoma","Non-Small Cell Lung Carcinoma"
"SIDM00144","ACH-000463","905943","NCIH460_LUNG","CVCL_0459","NCI-H460","NCI-HUT-460;NCI-460","UNCLASSIFIED","Lung","Non-Small Cell Lung Carcinoma","Large Cell Lung Carcinoma"
"SIDM00444","ACH-001368","1503363","OACM51_OESOPHAGUS","CVCL_1842","OACM5-1","OACM5.1 C","ESCA","Esophagus","Esophageal Carcinoma","Esophageal Adenocarcinoma"
"SIDM00220","ACH-000962","909257","OC314_OVARY","CVCL_1616","OC-314",NA,"OV","Ovary","Ovarian Carcinoma","Ovarian Serous Adenocarcinoma"
"SIDM00092","ACH-000617","905990","OVCAR4_OVARY","CVCL_1627","OVCAR-4","NIH:OVCAR-4","OV","Ovary","Ovarian Carcinoma","High Grade Ovarian Serous Adenocarcinoma"
"SIDM01114","ACH-001383","1330993","PWR1E_PROSTATE","CVCL_3775","PWR-1E",NA,"PRAD","Prostate","Non-Cancerous","Non-Cancerous"
"SIDM00449","ACH-000922","1330994","RCHACV_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","CVCL_1851","RCH-ACV",NA,"UNCLASSIFIED","Haematopoietic and Lymphoid","B-Lymphoblastic Leukemia","Childhood B Acute Lymphoblastic Leukemia"
"SIDM00426","ACH-000100","1240210","RH41_SOFT_TISSUE","CVCL_2176","RH-41",NA,"UNCLASSIFIED","Soft Tissue","Rhabdomyosarcoma","Alveolar Rhabdomyosarcoma"
"SIDM00813","ACH-001182","909701","RPMI6666_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","CVCL_1665","RPMI-6666",NA,"UNCLASSIFIED","Haematopoietic and Lymphoid","Non-Cancerous","Non-Cancerous"
"SIDM00382","ACH-000609","909712","SF126_CENTRAL_NERVOUS_SYSTEM","CVCL_1688","SF126",NA,"GBM","Central Nervous System","Glioblastoma","Glioblastoma"
"SIDM01108","ACH-000309","909721","SKLU1_LUNG","CVCL_0629","SK-LU-1",NA,"LUAD","Lung","Non-Small Cell Lung Carcinoma","Lung Adenocarcinoma"
"SIDM01199","ACH-000493","909737","SNU423_LIVER","CVCL_0366","SNU-423","NCI-SNU-423","LIHC","Liver","Hepatocellular Carcinoma","Hepatocellular Carcinoma"
"SIDM00832","ACH-000680","909757","SW948_LARGE_INTESTINE","CVCL_0632","SW948",NA,"COREAD","Large Intestine","Colorectal Carcinoma","Colon Adenocarcinoma"
"SIDM00249","ACH-000353","753614","TE15_OESOPHAGUS","CVCL_1763","TE-15",NA,"ESCA","Esophagus","Esophageal Squamous Cell Carcinoma","Esophageal Squamous Cell Carcinoma"
"SIDM01191","ACH-000364","909776","U2OS_BONE","CVCL_0042","U-2-OS","U20-S;2T","UNCLASSIFIED","Bone","Osteosarcoma","Osteosarcoma"
"SIDM00417","ACH-000626","753615","U266B1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","CVCL_0566","U-266","U266B1;U266S;U266BL","MM","Haematopoietic and Lymphoid","Plasma Cell Myeloma","Plasma Cell Myeloma"
"SIDM01102","ACH-002316","1331049","WIL2NS_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","CVCL_2761","WIL2-NS",NA,"UNCLASSIFIED","Haematopoietic and Lymphoid","Non-Cancerous","Hereditary Spherocytosis"
"SIDM00027","ACH-001192","909730","SKNEP1_BONE","CVCL_0631","SK-NEP-1",NA,"ES","Kidney","Kidney Carcinoma","Renal Cell Carcinoma"
"SIDM00012",NA,NA,NA,"CVCL_VS55","M120326_2",NA,NA,"Skin","Melanoma","Melanoma"
"SIDM00021",NA,NA,NA,"CVCL_9971","TE-3",NA,NA,"Esophagus","Esophageal Squamous Cell Carcinoma","Esophageal Squamous Cell Carcinoma"
"SIDM00124","ACH-000555","905948","A498_KIDNEY","CVCL_1056","A498",NA,"KIRC","Kidney","Kidney Carcinoma","Renal Cell Carcinoma"
"SIDM00129","ACH-002121","1240130","GMEL_SKIN","CVCL_W798","G-MEL",NA,"SKCM","Skin","Melanoma","Cutaneous Melanoma"
"SIDM01960",NA,NA,NA,NA,"HCM-SANG-0529-C18","WTSI-COLO_109",NA,"Large Intestine","Colorectal Carcinoma","Colon Adenocarcinoma"
"SIDM01285",NA,NA,NA,NA,"HCM-SANG-0289-C15","WTSI-OESO_003",NA,"Esophagus","Esophageal Carcinoma","Esophageal Adenocarcinoma"
"SIDM01292",NA,NA,NA,NA,"HCM-SANG-0296-C15","WTSI-OESO_082",NA,"Esophagus","Esophageal Carcinoma","Esophageal Adenocarcinoma"
"SIDM01303",NA,NA,NA,NA,"HCM-SANG-0304-C15","WTSI-OESO_130",NA,"Esophagus","Esophageal Carcinoma","Esophageal Adenocarcinoma"
"SIDM01283",NA,NA,NA,NA,"HCM-SANG-0306-C15","WTSI-OESO_135",NA,"Esophagus","Esophageal Carcinoma","Esophageal Adenocarcinoma"
"SIDM01312",NA,NA,NA,NA,"HCM-SANG-0309-C15","WTSI-OESO_146",NA,"Esophagus","Esophageal Carcinoma","Esophageal Adenocarcinoma"
"SIDM01272",NA,NA,NA,NA,"HCM-SANG-0274-C18","WTSI-COLO_031",NA,"Large Intestine","Colorectal Carcinoma","Colon Adenocarcinoma"
"SIDM01289",NA,NA,NA,NA,"HCM-SANG-0300-C15","WTSI-OESO_103",NA,"Esophagus","Esophageal Carcinoma","Esophageal Adenocarcinoma"
"SIDM01298",NA,NA,NA,NA,"HCM-SANG-0308-C15","WTSI-OESO_144",NA,"Esophagus","Esophageal Carcinoma","Esophageal Adenocarcinoma"
"SIDM01290",NA,NA,NA,NA,"HCM-SANG-0293-C15","WTSI-OESO_034",NA,"Esophagus","Esophageal Carcinoma","Esophageal Adenocarcinoma"
"SIDM01309",NA,NA,NA,NA,"HCM-SANG-0271-D12","WTSI-COLO_023",NA,"Large Intestine","Non-Cancerous","Colon Tubular Adenoma"
"SIDM01313",NA,NA,NA,NA,"HCM-SANG-0285-C18","WTSI-COLO_151",NA,"Large Intestine","Colorectal Carcinoma","Colon Adenocarcinoma"
"SIDM01305",NA,NA,NA,NA,"HCM-SANG-0286-C20","WTSI-COLO_155",NA,"Large Intestine","Colorectal Carcinoma","Rectal Adenocarcinoma"
"SIDM01306",NA,NA,NA,NA,"HCM-SANG-0287-C20","WTSI-COLO_159",NA,"Large Intestine","Colorectal Carcinoma","Rectal Adenocarcinoma"
"SIDM01311",NA,NA,NA,NA,"HCM-SANG-0299-C15-B","WTSI-OESO_131",NA,"Esophagus","Esophageal Carcinoma","Esophageal Adenocarcinoma"
"SIDM01301",NA,NA,NA,NA,"HCM-SANG-0312-C15","WTSI-OESO_164",NA,"Esophagus","Esophageal Carcinoma","Esophageal Adenocarcinoma"
"SIDM01267",NA,NA,NA,NA,"HCM-SANG-0267-D12","WTSI-COLO_011",NA,"Large Intestine","Non-Cancerous","Colon Adenoma"
"SIDM01294",NA,NA,NA,NA,"HCM-SANG-0311-C15","WTSI-OESO_152",NA,"Esophagus","Esophageal Carcinoma","Esophageal Adenocarcinoma"
"SIDM01302",NA,NA,NA,NA,"HCM-SANG-0313-C15","WTSI-OESO_165",NA,"Esophagus","Esophageal Carcinoma","Esophageal Adenocarcinoma"
